date,dia_semana,name,holiday,type,obs
2023-01-01,Domingo,Confraternização Universal,True,Fixo,
2023-01-25,Quarta-feira,Aniversário da Cidade de São Paulo,True,Fixo,
2023-02-20,Segunda-feira,Carnaval (seg),True,Móvel,
2023-02-21,Terça-feira,Carnaval (ter),True,Móvel,
2023-02-22,Quarta-feira,Carnaval (qua),True,Móvel,
2023-04-02,Domingo,Domingo de Ramos,False,Móvel,
2023-04-06,Quinta-feira,Endoenças,True,Móvel,
2023-04-07,Sexta-feira,Sexta-feira Santa,True,Móvel,
2023-04-09,Domingo,Páscoa,True,Móvel,
2023-04-21,Sexta-feira,Tiradentes,True,Fixo,
2023-05-01,Segunda-feira,Dia do Trabalho,True,Fixo,
2023-06-08,Quinta-feira,Corpus Christ,True,Móvel,
2023-09-07,Quinta-feira,Independência do Brasil,True,Fixo,
2023-10-12,Quinta-feira,Dia de Nossa Senhora Aparecida,True,Fixo,
2023-11-02,Quinta-feira,Dia de Finados,True,Fixo,
2023-11-15,Quarta-feira,Proclamação da República,True,Fixo,
2023-11-20,Segunda-feira,Dia da Consciência Negra,True,Fixo,
2023-12-24,Domingo,Véspera de Natal,True,Fixo,
2023-12-25,Segunda-feira,Natal,True,Fixo,
2023-12-31,Domingo,Reveillon,True,Fixo,
2024-01-01,Segunda-feira,Confraternização Universal,True,Fixo,
2024-01-25,Quinta-feira,Aniversário da Cidade de São Paulo,True,Fixo,
2024-02-12,Segunda-feira,Carnaval (seg),True,Móvel,
2024-02-13,Terça-feira,Carnaval (ter),True,Móvel,
2024-02-14,Quarta-feira,Carnaval (qua),True,Móvel,
2024-03-24,Domingo,Domingo de Ramos,False,Móvel,
2024-03-28,Quinta-feira,Endoenças,True,Móvel,
2024-03-29,Sexta-feira,Sexta-feira Santa,True,Móvel,
2024-03-31,Domingo,Páscoa,True,Móvel,
2024-04-21,Domingo,Tiradentes,True,Fixo,
2024-05-01,Quarta-feira,Dia do Trabalho,True,Fixo,
2024-05-30,Quinta-feira,Corpus Christ,True,Móvel,
2024-09-07,Sábado,Independência do Brasil,True,Fixo,
2024-10-12,Sábado,Dia de Nossa Senhora Aparecida,True,Fixo,
2024-11-02,Sábado,Dia de Finados,True,Fixo,
2024-11-15,Sexta-feira,Proclamação da República,True,Fixo,
2024-11-20,Quarta-feira,Dia da Consciência Negra,True,Fixo,
2024-12-24,Terça-feira,Véspera de Natal,True,Fixo,
2024-12-25,Quarta-feira,Natal,True,Fixo,
2024-12-31,Terça-feira,Reveillon,True,Fixo,
